DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/13/2013,20:58,QUEENS,11421,40.6936625,-73.8521639,"(40.6936625, -73.8521639)",WOODHAVEN BOULEVARD,JAMAICA AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,205471,PASSENGER VEHICLE,,,,
02/13/2013,14:55,BROOKLYN,11208,40.6694586,-73.8628301,"(40.6694586, -73.8628301)",ELDERTS LANE,LINDEN BOULEVARD,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,166000,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
02/07/2013,11:15,QUEENS,11103,40.7639802,-73.9105065,"(40.7639802, -73.9105065)",28 AVENUE,44 STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,274930,SPORT UTILITY / STATION WAGON,,,,
02/06/2013,14:15,MANHATTAN,10031,40.8200975,-73.9550764,"(40.8200975, -73.9550764)",WEST 135 STREET,BROADWAY,,6,1,3,0,0,0,3,1,Failure to Yield Right-of-Way,Unspecified,,,,65444,VAN,PASSENGER VEHICLE,,,
02/05/2013,10:11,MANHATTAN,10036,40.7578281,-73.9930696,"(40.7578281, -73.9930696)",WEST 41 STREET,9 AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,18250,LARGE COM VEH(6 OR MORE TIRES),,,,
02/04/2013,15:15,MANHATTAN,10000,40.7894755,-73.9573939,"(40.7894755, -73.9573939)",EAST DRIVE,97 STREET TRANSVERSE,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,,,,,55426,MOTORCYCLE,,,,
02/01/2013,19:32,STATEN ISLAND,10306,40.5783776,-74.0940362,"(40.5783776, -74.0940362)",JEFFERSON AVENUE,MASON AVENUE,,1,1,1,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,296394,SPORT UTILITY / STATION WAGON,,,,
01/31/2013,22:52,QUEENS,11237,40.699531,-73.9110367,"(40.699531, -73.9110367)",MYRTLE AVENUE,WYCKOFF AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,215286,PASSENGER VEHICLE,,,,
01/30/2013,18:30,BROOKLYN,11212,40.6542235,-73.9153065,"(40.6542235, -73.9153065)",LINDEN BOULEVARD,EAST 95 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,136979,SPORT UTILITY / STATION WAGON,,,,
01/30/2013,12:50,QUEENS,11411,40.6979494,-73.7366502,"(40.6979494, -73.7366502)",222 STREET,115 ROAD,,0,1,0,0,0,0,0,1,Passing or Lane Usage Improper,,,,,222269,PASSENGER VEHICLE,,,,
01/30/2013,1:00,MANHATTAN,10027,40.8156907,-73.9582947,"(40.8156907, -73.9582947)",WEST 125 STREET,BROADWAY,,0,1,0,1,0,0,0,0,Passenger Distraction,,,,,62619,TAXI,,,,
01/29/2013,20:13,BROOKLYN,11212,40.6541334,-73.9123297,"(40.6541334, -73.9123297)",LINDEN BOULEVARD,ROCKAWAY PARKWAY,,0,1,0,1,0,0,0,0,Unspecified,,,,,136972,SPORT UTILITY / STATION WAGON,,,,
01/29/2013,19:50,MANHATTAN,10065,40.7649175,-73.955157,"(40.7649175, -73.955157)",YORK AVENUE,EAST 69 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,47363,SPORT UTILITY / STATION WAGON,,,,
01/29/2013,14:00,BRONX,10468,40.8624442,-73.8971422,"(40.8624442, -73.8971422)",GRAND CONCOURSE,EAST FORDHAM ROAD,,0,1,0,1,0,0,0,0,Backing Unsafely,,,,,110757,PASSENGER VEHICLE,,,,
01/29/2013,13:10,QUEENS,11354,40.764651,-73.823484,"(40.764651, -73.823484)",PARSONS BOULEVARD,NORTHERN BOULEVARD,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,248775,PASSENGER VEHICLE,,,,
01/26/2013,15:20,BROOKLYN,11204,40.6162611,-73.9930807,"(40.6162611, -73.9930807)",18 AVENUE,70 STREET,,1,1,1,1,0,0,0,0,Unspecified,,,,,122858,SPORT UTILITY / STATION WAGON,,,,
01/25/2013,7:13,BROOKLYN,11236,40.644245,-73.8910212,"(40.644245, -73.8910212)",AVENUE K,EAST 105 STREET,,0,1,0,1,0,0,0,0,Passenger Distraction,,,,,145617,BUS,,,,
01/23/2013,18:08,QUEENS,11040,40.7491907,-73.7078596,"(40.7491907, -73.7078596)",UNION TURNPIKE,265 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,222196,SPORT UTILITY / STATION WAGON,,,,
01/22/2013,14:49,BROOKLYN,11230,40.6121091,-73.9667815,"(40.6121091, -73.9667815)",AVENUE O,EAST 7 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,131557,SPORT UTILITY / STATION WAGON,,,,
01/20/2013,2:00,MANHATTAN,10010,40.7407326,-73.9817618,"(40.7407326, -73.9817618)",EAST 26 STREET,3 AVENUE,,1,1,0,1,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,23074,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON,TAXI,PASSENGER VEHICLE
01/19/2013,22:14,QUEENS,11208,40.674021,-73.8610722,"(40.674021, -73.8610722)",SOUTH CONDUIT AVENUE,75 STREET,,0,1,0,0,0,0,0,1,Unspecified,,,,,229627,PASSENGER VEHICLE,,,,
01/18/2013,14:32,MANHATTAN,10001,40.7502418,-73.998596,"(40.7502418, -73.998596)",9 AVENUE,WEST 29 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,27940,SMALL COM VEH(4 TIRES),,,,
01/17/2013,18:50,QUEENS,11385,40.6998829,-73.9082989,"(40.6998829, -73.9082989)",MYRTLE AVENUE,MADISON STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,215162,PASSENGER VEHICLE,,,,
01/16/2013,21:51,,,40.6356257,-74.0170629,"(40.6356257, -74.0170629)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,2957422,SPORT UTILITY / STATION WAGON,,,,
01/12/2013,6:45,QUEENS,11374,40.7133793,-73.8596555,"(40.7133793, -73.8596555)",WOODHAVEN BOULEVARD,COOPER AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,215118,SPORT UTILITY / STATION WAGON,,,,
01/11/2013,18:38,QUEENS,11426,40.7413881,-73.7248837,"(40.7413881, -73.7248837)",COMMONWEALTH BOULEVARD,UNION TURNPIKE,,0,1,0,1,0,0,0,0,Unspecified,,,,,222056,SPORT UTILITY / STATION WAGON,,,,
01/07/2013,6:59,QUEENS,11355,40.7460428,-73.8260812,"(40.7460428, -73.8260812)",MAIN STREET,57 ROAD,,0,1,0,1,0,0,0,0,Unspecified,,,,,248436,PASSENGER VEHICLE,,,,
01/06/2013,21:12,BROOKLYN,11203,40.6558844,-73.9423998,"(40.6558844, -73.9423998)",CLARKSON AVENUE,EAST 38 STREET,,0,1,0,0,0,0,0,1,Prescription Medication,Lost Consciousness,,,,153400,PASSENGER VEHICLE,MOTORCYCLE,,,
01/05/2013,13:02,BRONX,10460,40.8438293,-73.8879185,"(40.8438293, -73.8879185)",EAST TREMONT AVENUE,MAPES AVENUE,,1,1,0,1,0,0,1,0,Unspecified,,,,,100720,PASSENGER VEHICLE,,,,
01/05/2013,2:08,BROOKLYN,11223,40.5976825,-73.9668499,"(40.5976825, -73.9668499)",AVENUE U,EAST 5 STREET,,3,3,0,0,0,0,3,3,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,117875,PASSENGER VEHICLE,PASSENGER VEHICLE,BUS,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
01/04/2013,7:46,BRONX,10455,40.818461,-73.9148771,"(40.818461, -73.9148771)",ELTON AVENUE,EAST 153 STREET,,0,1,0,0,0,0,0,1,Following Too Closely,Unspecified,Unspecified,,,73636,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
01/04/2013,21:34,BRONX,10466,40.8906476,-73.8487419,"(40.8906476, -73.8487419)",PAULDING AVENUE,EAST 233 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,96432,UNKNOWN,,,,
01/04/2013,12:26,MANHATTAN,10010,40.7401843,-73.986363,"(40.7401843, -73.986363)",EAST 23 STREET,PARK AVENUE SOUTH,,0,1,0,1,0,0,0,0,Unspecified,,,,,22964,LARGE COM VEH(6 OR MORE TIRES),,,,
