DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/20/2012,11:14,MANHATTAN,10003,40.7371325,-73.9903293,"(40.7371325, -73.9903293)",UNION SQUARE WEST,EAST 17 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,22666,SMALL COM VEH(4 TIRES),,,,
11/18/2012,2:47,QUEENS,11411,40.6983571,-73.731358,"(40.6983571, -73.731358)",227 STREET,115 AVENUE,,1,1,0,0,0,0,1,1,Physical Disability,Alcohol Involvement,Traffic Control Disregarded,Unspecified,,221299,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
11/17/2012,3:40,BROOKLYN,11210,40.638606,-73.9482662,"(40.638606, -73.9482662)",FOSTER AVENUE,NOSTRAND AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,136277,UNKNOWN,PASSENGER VEHICLE,,,
11/15/2012,5:27,BROOKLYN,11211,40.7107162,-73.9535811,"(40.7107162, -73.9535811)",BORINQUEN PLACE,KEAP STREET,,1,1,1,1,0,0,0,0,Unspecified,Unspecified,,,,194770,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/14/2012,5:48,BROOKLYN,11233,40.6769384,-73.9218247,"(40.6769384, -73.9218247)",ATLANTIC AVENUE,RALPH AVENUE,,1,1,0,0,0,0,1,1,Physical Disability,Failure to Yield Right-of-Way,,,,160830,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2012,18:30,STATEN ISLAND,10314,40.6084351,-74.1554375,"(40.6084351, -74.1554375)",VICTORY BOULEVARD,CHRISTOPHER LANE,,0,1,0,1,0,0,0,0,Passenger Distraction,,,,,295045,PASSENGER VEHICLE,,,,
11/06/2012,13:24,MANHATTAN,10013,40.7180184,-73.9999567,"(40.7180184, -73.9999567)",CANAL STREET,CENTRE STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,6184,LARGE COM VEH(6 OR MORE TIRES),,,,
11/02/2012,23:20,QUEENS,11355,40.75933,-73.8259671,"(40.75933, -73.8259671)",41 AVENUE,UNION STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,247482,UNKNOWN,,,,
11/01/2012,22:40,STATEN ISLAND,10301,40.6150504,-74.1070654,"(40.6150504, -74.1070654)",VICTORY BOULEVARD,LABAU AVENUE,,0,1,0,0,0,0,0,1,Unspecified,,,,,286001,PASSENGER VEHICLE,,,,
10/31/2012,17:42,MANHATTAN,10001,40.7445322,-73.9888703,"(40.7445322, -73.9888703)",WEST 27 STREET,BROADWAY,,0,1,0,1,0,0,0,0,Unspecified,,,,,22565,PASSENGER VEHICLE,,,,
10/27/2012,18:30,BRONX,10452,40.8343235,-73.9199088,"(40.8343235, -73.9199088)",WALTON AVENUE,TUDOR PLACE,,5,1,0,0,0,0,5,1,Driver Inexperience,Unspecified,Unspecified,Unspecified,,85858,PASSENGER VEHICLE,MOTORCYCLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
10/26/2012,6:12,BROOKLYN,11220,40.6436697,-74.015491,"(40.6436697, -74.015491)",4 AVENUE,55 STREET,,0,1,0,1,0,0,0,0,View Obstructed/Limited,,,,,156622,SPORT UTILITY / STATION WAGON,,,,
10/26/2012,14:30,QUEENS,11366,40.7289202,-73.7820575,"(40.7289202, -73.7820575)",UNION TURNPIKE,187 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,234088,PASSENGER VEHICLE,,,,
10/25/2012,23:17,BRONX,10469,40.8778822,-73.8447933,"(40.8778822, -73.8447933)",BOSTON ROAD,KINGSLAND AVENUE,,0,1,0,0,0,0,0,1,Unspecified,,,,,95837,PASSENGER VEHICLE,,,,
10/23/2012,23:00,QUEENS,11378,40.727789,-73.8954991,"(40.727789, -73.8954991)",69 STREET,HULL AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,214317,PASSENGER VEHICLE,,,,
10/22/2012,1:21,MANHATTAN,10028,40.7765625,-73.9527048,"(40.7765625, -73.9527048)",2 AVENUE,EAST 84 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,46210,PASSENGER VEHICLE,,,,
10/22/2012,0:19,BROOKLYN,11212,40.6572088,-73.9002951,"(40.6572088, -73.9002951)",LINDEN BOULEVARD,HEGEMAN AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,160697,SPORT UTILITY / STATION WAGON,,,,
10/21/2012,13:15,,,,,,HIGHLAND BOULEVARD,VERMONT STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,164751,UNKNOWN,,,,
10/20/2012,6:00,QUEENS,11365,40.7421627,-73.8044317,"(40.7421627, -73.8044317)",164 STREET,BOOTH MEMORIAL AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,247308,PASSENGER VEHICLE,,,,
10/20/2012,6:08,,,,,,ROCKAWAY FREEWAY,BEACH 84 STREET,,0,1,0,0,0,0,0,1,Alcohol Involvement,,,,,201221,SPORT UTILITY / STATION WAGON,,,,
10/19/2012,17:40,,,,,,LAUREL HILL BOULEVARD,48 STREET,,1,1,0,0,0,0,1,1,Traffic Control Disregarded,Traffic Control Disregarded,,,,239867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/19/2012,6:16,STATEN ISLAND,10314,40.6124545,-74.1809831,"(40.6124545, -74.1809831)",GULF AVENUE,BLOOMFIELD AVENUE,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,294758,SPORT UTILITY / STATION WAGON,VAN,SPORT UTILITY / STATION WAGON,,
10/16/2012,22:21,,,,,,,,,1,1,0,0,0,0,1,1,Unspecified,Unspecified,,,,2988127,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,
10/15/2012,17:45,QUEENS,11373,40.7433116,-73.8745041,"(40.7433116, -73.8745041)",91 PLACE,43 AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,255740,SPORT UTILITY / STATION WAGON,,,,
10/15/2012,7:01,BRONX,10469,40.867743,-73.8595467,"(40.867743, -73.8595467)",BOSTON ROAD,ARNOW AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,103442,PASSENGER VEHICLE,,,,
10/14/2012,21:00,,,40.8115047,-73.9347991,"(40.8115047, -73.9347991)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,2864251,SPORT UTILITY / STATION WAGON,,,,
10/13/2012,19:02,QUEENS,11432,40.7095327,-73.7963937,"(40.7095327, -73.7963937)",HILLSIDE AVENUE,MERRICK BOULEVARD,,0,1,0,1,0,0,0,0,Unspecified,,,,,209415,BUS,,,,
10/09/2012,20:29,MANHATTAN,10026,40.8011551,-73.9596475,"(40.8011551, -73.9596475)",WEST 110 STREET,MANHATTAN AVENUE,,1,1,0,0,0,0,1,1,Failure to Yield Right-of-Way,Unspecified,,,,62376,PASSENGER VEHICLE,MOTORCYCLE,,,
10/03/2012,11:53,STATEN ISLAND,10302,40.6242711,-74.137232,"(40.6242711, -74.137232)",FOREST AVENUE,LIVERMORE AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,285666,PASSENGER VEHICLE,,,,
10/01/2012,5:15,BROOKLYN,11237,40.7142083,-73.9281658,"(40.7142083, -73.9281658)",METROPOLITAN AVENUE,STEWART AVENUE,,0,1,0,0,0,1,0,0,Prescription Medication,Passenger Distraction,,,,194426,UNKNOWN,BICYCLE,,,
09/30/2012,3:39,MANHATTAN,10036,40.7580218,-73.9817932,"(40.7580218, -73.9817932)",WEST 47 STREET,AVENUE OF AMERICAS,,0,1,0,1,0,0,0,0,Unspecified,,,,,38725,LARGE COM VEH(6 OR MORE TIRES),,,,
09/30/2012,23:34,QUEENS,11435,40.7017656,-73.8079259,"(40.7017656, -73.8079259)",JAMAICA AVENUE,SUTPHIN BOULEVARD,,0,1,0,1,0,0,0,0,Prescription Medication,,,,,209325,PASSENGER VEHICLE,,,,
09/29/2012,3:12,BROOKLYN,11237,40.7085426,-73.9274072,"(40.7085426, -73.9274072)",JOHNSON AVENUE,VARICK AVENUE,,0,1,0,0,0,0,0,1,Unspecified,,,,,194413,PASSENGER VEHICLE,,,,
09/28/2012,12:36,BROOKLYN,11228,40.6180871,-74.0227324,"(40.6180871, -74.0227324)",BATTERY AVENUE,88 STREET,,0,1,0,0,0,0,0,1,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,141302,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/28/2012,23:54,MANHATTAN,10025,40.8067067,-73.9648494,"(40.8067067, -73.9648494)",WEST 114 STREET,BROADWAY,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,62352,PASSENGER VEHICLE,,,,
09/27/2012,5:54,,,40.8695913,-73.8203916,"(40.8695913, -73.8203916)",,,,1,1,0,0,0,0,1,1,Driver Inexperience,Unspecified,,,,2912429,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2012,20:00,BRONX,10456,40.8309366,-73.9123967,"(40.8309366, -73.9123967)",TELLER AVENUE,EAST 167 STREET,,0,1,0,1,0,0,0,0,Traffic Control Disregarded,,,,,85662,MOTORCYCLE,,,,
09/25/2012,6:03,QUEENS,11415,40.7120013,-73.8254559,"(40.7120013, -73.8254559)",QUEENS BOULEVARD,HOOVER AVENUE,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,204385,UNKNOWN,BICYCLE,,,
09/24/2012,20:53,,,,,,CROSSBAY BOULEVARD,149 AVENUE,,1,1,0,1,0,0,1,0,Unspecified,,,,,228624,PASSENGER VEHICLE,,,,
09/22/2012,22:31,MANHATTAN,10022,40.7629131,-73.9697999,"(40.7629131, -73.9697999)",PARK AVENUE,EAST 59 STREET,,2,1,1,1,0,0,1,0,Physical Disability,Unspecified,,,,45850,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/21/2012,23:50,QUEENS,11368,40.7575342,-73.8665687,"(40.7575342, -73.8665687)",102 STREET,NORTHERN BOULEVARD,,0,1,0,1,0,0,0,0,Unspecified,,,,,280279,PASSENGER VEHICLE,,,,
09/20/2012,14:05,MANHATTAN,10019,40.7671096,-73.9817185,"(40.7671096, -73.9817185)",WEST 58 STREET,BROADWAY,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,38596,LARGE COM VEH(6 OR MORE TIRES),,,,
09/20/2012,0:19,BRONX,10454,40.8091071,-73.9228869,"(40.8091071, -73.9228869)",WILLIS AVENUE,EAST 138 STREET,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Unspecified,,,,73074,PASSENGER VEHICLE,MOTORCYCLE,,,
09/20/2012,1:25,,,40.7446461,-73.7703999,"(40.7446461, -73.7703999)",,,,2,1,0,0,0,0,2,1,Traffic Control Disregarded,,,,,3033349,PASSENGER VEHICLE,,,,
09/18/2012,6:40,BROOKLYN,11207,40.6768941,-73.9000457,"(40.6768941, -73.9000457)",EAST NEW YORK AVENUE,ALABAMA AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,164369,PASSENGER VEHICLE,,,,
09/17/2012,12:59,MANHATTAN,10021,40.765868,-73.9574126,"(40.765868, -73.9574126)",1 AVENUE,EAST 69 STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,45770,TAXI,,,,
09/17/2012,20:31,BROOKLYN,11230,40.6268409,-73.9684781,"(40.6268409, -73.9684781)",AVENUE I,EAST 8 STREET,,2,1,0,0,0,0,2,1,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,130513,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/16/2012,23:00,QUEENS,11101,40.7574856,-73.939085,"(40.7574856, -73.939085)",21 STREET,38 AVENUE,,0,1,0,0,0,0,0,1,Failure to Yield Right-of-Way,Unspecified,,,,273502,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
09/15/2012,13:38,MANHATTAN,10027,40.8077723,-73.9454833,"(40.8077723, -73.9454833)",WEST 125 STREET,LENOX AVENUE,,0,1,0,0,0,0,0,1,Turning Improperly,Driver Inexperience,Unspecified,,,63762,MOTORCYCLE,TAXI,BUS,,
09/15/2012,21:50,BROOKLYN,11249,40.7056343,-73.9650938,"(40.7056343, -73.9650938)",CLYMER STREET,JULIANA PLACE,,2,1,1,1,0,0,1,0,Backing Unsafely,,,,,194327,SPORT UTILITY / STATION WAGON,,,,
09/13/2012,6:05,,,,,,,,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,Unspecified,,,2934060,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,
09/13/2012,12:49,,,40.8819612,-73.8165943,"(40.8819612, -73.8165943)",,,,0,1,0,0,0,0,0,1,Unspecified,,,,,2912389,PASSENGER VEHICLE,,,,
09/12/2012,11:50,,,40.7549013,-73.7454772,"(40.7549013, -73.7454772)",,,,0,1,0,0,0,0,0,1,Unspecified,,,,,3078957,PASSENGER VEHICLE,,,,
09/10/2012,15:15,MANHATTAN,10026,40.8018439,-73.9591486,"(40.8018439, -73.9591486)",MANHATTAN AVENUE,WEST 111 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,62317,SPORT UTILITY / STATION WAGON,,,,
09/05/2012,23:54,BROOKLYN,11225,40.656762,-73.9601349,"(40.656762, -73.9601349)",FLATBUSH AVENUE,WESTBURY COURT,,3,1,0,1,0,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,152745,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
09/02/2012,0:27,,,,,,ROCKAWAY BOULEVARD,LINDEN BOULEVARD,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,Unspecified,,,,228451,PASSENGER VEHICLE,MOTORCYCLE,,,
08/31/2012,23:08,BRONX,10468,40.8701594,-73.8909872,"(40.8701594, -73.8909872)",GRAND CONCOURSE,EAST 198 STREET,,0,1,0,1,0,0,0,0,Traffic Control Disregarded,,,,,109862,PASSENGER VEHICLE,,,,
08/31/2012,14:40,BRONX,10466,40.8998154,-73.8578041,"(40.8998154, -73.8578041)",NEREID AVENUE,BRONX BOULEVARD,,0,1,0,0,0,0,0,1,Other Vehicular,Prescription Medication,,,,95407,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/30/2012,6:57,,,,,,,,,0,1,0,0,0,0,0,1,Unspecified,,,,,2918725,SPORT UTILITY / STATION WAGON,,,,
08/27/2012,8:50,,,,,,AVENUE OF THE AMERICAS,WEST HOUSTON STREET,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,9655,LARGE COM VEH(6 OR MORE TIRES),,,,
08/27/2012,19:05,STATEN ISLAND,10312,40.5342669,-74.1539735,"(40.5342669, -74.1539735)",HYLAN BOULEVARD,RICHMOND AVENUE,,2,2,0,0,0,0,2,2,Traffic Control Disregarded,Unspecified,Unspecified,,,293916,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
08/26/2012,21:08,BROOKLYN,11205,40.698677,-73.9588584,"(40.698677, -73.9588584)",FLUSHING AVENUE,FRANKLIN AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,194205,PASSENGER VEHICLE,BICYCLE,,,
08/24/2012,22:50,,,40.7161366,-73.8184852,"(40.7161366, -73.8184852)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3033279,PASSENGER VEHICLE,,,,
08/24/2012,1:13,BRONX,10455,40.812181,-73.9010925,"(40.812181, -73.9010925)",TIMPSON PLACE,SAINT JOHN AVENUE,,0,1,0,1,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,76434,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
08/23/2012,13:22,MANHATTAN,10004,40.70495,-74.0115487,"(40.70495, -74.0115487)",BROAD STREET,BEAVER STREET,,3,1,2,1,0,0,1,0,Driver Inattention/Distraction,,,,,516,SPORT UTILITY / STATION WAGON,,,,
08/23/2012,22:00,QUEENS,11434,40.6561603,-73.7673526,"(40.6561603, -73.7673526)",BREWER BOULEVARD,ROCKAWAY BOULEVARD,,0,1,0,1,0,0,0,0,Unspecified,,,,,220124,UNKNOWN,,,,
08/22/2012,12:25,,,,,,,,,1,1,0,0,0,0,1,1,Unspecified,Unspecified,Unspecified,,,2927013,MOTORCYCLE,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,
08/22/2012,18:14,BROOKLYN,11233,40.6706879,-73.9170232,"(40.6706879, -73.9170232)",EASTERN PARKWAY,SARATOGA AVENUE,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,160389,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
08/21/2012,4:43,BRONX,10466,40.8924774,-73.8544923,"(40.8924774, -73.8544923)",BARNES AVENUE,EAST 233 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,95290,UNKNOWN,,,,
08/21/2012,21:32,BRONX,10469,40.8675505,-73.8615031,"(40.8675505, -73.8615031)",BRONXWOOD AVENUE,WILLIAMSBRIDGE ROAD,,3,1,0,0,0,0,3,1,Failure to Yield Right-of-Way,Unspecified,,,,103051,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
08/20/2012,8:31,QUEENS,11377,40.7623853,-73.9034334,"(40.7623853, -73.9034334)",BOROUGH PLACE,BULOVA AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,273143,BUS,,,,
08/14/2012,14:58,,,,,,GRANT HIGHWAY,WEST 170 STREET,,0,1,0,0,0,0,0,1,Driver Inattention/Distraction,,,,,85431,MOTORCYCLE,,,,
08/11/2012,22:30,,,40.7914069,-73.9356781,"(40.7914069, -73.9356781)",,,,0,1,0,0,0,0,0,1,Aggressive Driving/Road Rage,Unspecified,,,,2853447,MOTORCYCLE,PASSENGER VEHICLE,,,
08/11/2012,12:18,BRONX,10474,40.8120773,-73.8868051,"(40.8120773, -73.8868051)",RANDALL AVENUE,COSTER STREET,,2,1,0,0,0,0,2,1,Unspecified,Unspecified,,,,76398,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/10/2012,20:25,BROOKLYN,11236,40.6420041,-73.8988296,"(40.6420041, -73.8988296)",ROCKAWAY PARKWAY,AVENUE J,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,144898,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
08/09/2012,22:30,MANHATTAN,10002,40.7216438,-73.9891302,"(40.7216438, -73.9891302)",ALLEN STREET,STANTON STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,12320,OTHER,,,,
08/09/2012,9:00,MANHATTAN,10022,40.7616682,-73.9749156,"(40.7616682, -73.9749156)",WEST 55 STREET,5 AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,38108,SPORT UTILITY / STATION WAGON,,,,
08/08/2012,2:09,BROOKLYN,11204,40.6187991,-73.9834881,"(40.6187991, -73.9834881)",20 AVENUE,61 STREET,,3,1,0,0,0,0,3,1,Unspecified,Unspecified,Unspecified,Unspecified,,130180,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
08/06/2012,19:05,BROOKLYN,11220,40.6471227,-74.0151603,"(40.6471227, -74.0151603)",51 STREET,3 AVENUE,,0,1,0,1,0,0,0,0,Physical Disability,,,,,156067,PASSENGER VEHICLE,,,,
08/04/2012,12:28,,,,,,BAY STREET,VICTORY BOULEVARD,,0,1,0,1,0,0,0,0,Unspecified,,,,,285012,BUS,,,,
08/03/2012,16:00,STATEN ISLAND,10314,40.6088332,-74.1211698,"(40.6088332, -74.1211698)",MANOR ROAD,SCHMIDTS LANE,,0,1,0,1,0,0,0,0,Unspecified,,,,,293579,PASSENGER VEHICLE,,,,
08/02/2012,0:08,BROOKLYN,11211,40.7146912,-73.9426881,"(40.7146912, -73.9426881)",METROPOLITAN AVENUE,HUMBOLDT STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,194049,LIVERY VEHICLE,,,,
07/30/2012,21:50,MANHATTAN,10031,40.8284464,-73.9415422,"(40.8284464, -73.9415422)",SAINT NICHOLAS PLACE,WEST 152 STREET,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,Unspecified,,,65072,MOTORCYCLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
07/30/2012,19:50,MANHATTAN,10029,40.7942333,-73.9469462,"(40.7942333, -73.9469462)",EAST 108 STREET,PARK AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,55636,PASSENGER VEHICLE,BICYCLE,,,
07/28/2012,0:45,STATEN ISLAND,10314,40.6214289,-74.1264267,"(40.6214289, -74.1264267)",COLLEGE AVENUE,CAROLINA PLACE,,0,1,0,0,0,0,0,1,Unspecified,,,,,284928,PASSENGER VEHICLE,,,,
07/22/2012,3:20,QUEENS,11418,40.6972045,-73.8133341,"(40.6972045, -73.8133341)",94 AVENUE,VAN WYCK EXPRESSWAY,,3,5,0,0,0,0,3,5,Traffic Control Disregarded,,,,,208863,SPORT UTILITY / STATION WAGON,,,,
07/22/2012,20:48,BROOKLYN,11212,40.6631059,-73.9051739,"(40.6631059, -73.9051739)",MOTHER GASTON BOULEVARD,LIVONIA AVENUE,,0,1,0,1,0,0,0,0,Passenger Distraction,,,,,160223,PASSENGER VEHICLE,,,,
07/21/2012,20:08,QUEENS,11434,40.6852789,-73.7723999,"(40.6852789, -73.7723999)",MERRICK BOULEVARD,VICTORIA ROAD,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,268241,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
07/18/2012,22:51,QUEENS,11104,40.7390635,-73.9261579,"(40.7390635, -73.9261579)",GREENPOINT AVENUE,39 PLACE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,Unspecified,,,238815,UNKNOWN,BICYCLE,TAXI,,
07/16/2012,10:35,BROOKLYN,11223,40.609674,-73.9652232,"(40.609674, -73.9652232)",EAST 8 STREET,AVENUE P,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,130032,MOTORCYCLE,PASSENGER VEHICLE,,,
07/16/2012,23:17,BRONX,10467,40.8786453,-73.871598,"(40.8786453, -73.871598)",WEBSTER AVENUE,EAST GUN HILL ROAD,,2,1,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,,,,95006,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/14/2012,1:21,BRONX,10456,40.8387216,-73.9137706,"(40.8387216, -73.9137706)",GRAND CONCOURSE,EAST 170 STREET,,2,1,1,1,0,0,1,0,Alcohol Involvement,Unspecified,,,,85246,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/14/2012,21:20,MANHATTAN,10025,40.7965967,-73.9703697,"(40.7965967, -73.9703697)",BROADWAY,WEST 99 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,57611,TAXI,,,,
07/13/2012,23:18,BRONX,10467,40.8786453,-73.871598,"(40.8786453, -73.871598)",WEBSTER AVENUE,EAST GUN HILL ROAD,,0,1,0,0,0,1,0,0,Other Vehicular,Unspecified,Unspecified,,,109565,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
07/12/2012,0:57,BRONX,10461,40.8430075,-73.8485467,"(40.8430075, -73.8485467)",OVERING STREET,EAST TREMONT AVENUE,,1,1,0,0,0,0,1,1,Unspecified,,,,,88620,PASSENGER VEHICLE,,,,
07/10/2012,10:59,,,40.725176,-73.8373787,"(40.725176, -73.8373787)",,,,1,1,0,1,0,0,1,0,Alcohol Involvement,Unspecified,,,,3089477,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
07/08/2012,21:54,BROOKLYN,11207,40.6806649,-73.9026216,"(40.6806649, -73.9026216)",BUSHWICK AVENUE,CONWAY STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,163460,PASSENGER VEHICLE,,,,
07/05/2012,3:30,BROOKLYN,11225,40.6627363,-73.9571216,"(40.6627363, -73.9571216)",BEDFORD AVENUE,STERLING STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,152388,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/03/2012,20:55,QUEENS,11369,40.7640141,-73.8812156,"(40.7640141, -73.8812156)",ASTORIA BOULEVARD,88 STREET,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,279655,PASSENGER VEHICLE,MOTORCYCLE,,,
07/02/2012,16:30,BROOKLYN,11216,40.685846,-73.9473101,"(40.685846, -73.9473101)",MARCY AVENUE,MONROE STREET,,0,1,0,0,0,0,0,1,View Obstructed/Limited,Unspecified,,,,179420,FIRE TRUCK,OTHER,,,
