longitude,latitude,YR,MO,X,Y,TOT,CR
-73.99133198127466,40.685448723494396,2015.0,2.0,986654.0,189004.0,1.0,GRAND LARCENY
-73.86918217302073,40.82729735112241,2015.0,2.0,1020454.0,240711.0,1.0,GRAND LARCENY
-74.00517564298939,40.75140550555603,2015.0,2.0,982816.0,213034.0,1.0,GRAND LARCENY
-73.85073437929674,40.69271097931242,2015.0,3.0,1025643.0,191685.0,1.0,BURGLARY
-73.94092139440829,40.69740931554457,2015.0,1.0,1000632.0,193367.0,1.0,FELONY ASSAULT
-73.97742914302471,40.75822410392314,2015.0,1.0,990503.0,215519.0,1.0,FELONY ASSAULT
-73.93634880985029,40.84449470741641,2015.0,1.0,1001861.0,246956.0,1.0,FELONY ASSAULT
-73.94960694363246,40.76215674549153,2015.0,1.0,998210.0,216955.0,2.0,FELONY ASSAULT
-73.90800860603942,40.87366274058952,2015.0,1.0,1009691.0,257590.0,1.0,FELONY ASSAULT
-73.98661078772385,40.764140458687805,2015.0,1.0,987959.0,217674.0,1.0,FELONY ASSAULT
-73.9484886892001,40.826481737003235,2015.0,1.0,998506.0,240391.0,1.0,FELONY ASSAULT
-73.94415798623905,40.83742838198205,2015.0,1.0,999702.0,244380.0,1.0,FELONY ASSAULT
-73.93305060445851,40.84645805054651,2015.0,1.0,1002773.0,247672.0,1.0,FELONY ASSAULT
-73.95025497313824,40.803149640737615,2015.0,1.0,998022.0,231890.0,1.0,FELONY ASSAULT
-73.78727619168632,40.76575363826733,2015.0,3.0,1043176.0,218333.0,1.0,BURGLARY
-74.00231952120973,40.71645664761633,2015.0,1.0,983607.0,200301.0,1.0,FELONY ASSAULT
-73.98120679501481,40.76390914557531,2015.0,1.0,989456.0,217590.0,1.0,FELONY ASSAULT
-73.94919864994482,40.81472093424374,2015.0,1.0,998312.0,236106.0,1.0,FELONY ASSAULT
-73.96733513157282,40.79820151395646,2015.0,1.0,993294.0,230085.0,1.0,FELONY ASSAULT
-73.93485705019839,40.84722485791919,2015.0,1.0,1002273.0,247951.0,1.0,FELONY ASSAULT
-73.89429288415593,40.76038733683138,2015.0,1.0,1013534.0,216324.0,1.0,FELONY ASSAULT
-73.81585280975897,40.70058461266468,2015.0,1.0,1035310.0,194572.0,1.0,FELONY ASSAULT
-73.75529549198238,40.71550492351324,2015.0,1.0,1052086.0,200049.0,1.0,FELONY ASSAULT
-73.83889882697477,40.69289813313332,2015.0,2.0,1028925.0,191759.0,1.0,FELONY ASSAULT
-73.77246504238877,40.59645468882131,2015.0,1.0,1047439.0,156663.0,1.0,FELONY ASSAULT
-73.80189272947163,40.59599041921186,2015.0,3.0,1039267.0,156474.0,1.0,BURGLARY
-73.74211502453441,40.59600357001551,2015.0,1.0,1055868.0,156522.0,2.0,FELONY ASSAULT
-73.80367116330046,40.69164396103786,2015.0,2.0,1038695.0,191322.0,1.0,FELONY ASSAULT
-73.88397361707469,40.75570584673418,2015.0,1.0,1016395.0,214622.0,1.0,FELONY ASSAULT
-73.87651543949806,40.74456813058723,2015.0,1.0,1018467.0,210567.0,1.0,FELONY ASSAULT
-73.92912633477236,40.757353642197984,2015.0,1.0,1003885.0,215209.0,1.0,FELONY ASSAULT
-73.8444180239173,40.69517290910534,2015.0,2.0,1027393.0,192585.0,2.0,FELONY ASSAULT
-73.78795056132786,40.58909254047488,2015.0,1.0,1043145.0,153970.0,1.0,FELONY ASSAULT
-74.07529498944395,40.642056900057895,2015.0,2.0,963354.0,173204.0,1.0,FELONY ASSAULT
-74.08070358060206,40.621206554500965,2015.0,1.0,961846.0,165609.0,1.0,FELONY ASSAULT
-73.88617290799077,40.845875121257066,2015.0,2.0,1015743.0,247473.0,1.0,FELONY ASSAULT
-73.86104177968565,40.67998813282812,2015.0,3.0,1022792.0,187045.0,1.0,BURGLARY
-73.88662355323656,40.81686118130992,2015.0,2.0,1015632.0,236902.0,1.0,FELONY ASSAULT
-73.89958550066933,40.85805210921408,2015.0,2.0,1012027.0,251905.0,1.0,FELONY ASSAULT
-73.8411312961752,40.84562151751962,2015.0,2.0,1028205.0,247400.0,2.0,FELONY ASSAULT
-73.83527681921184,40.87887910656696,2015.0,2.0,1029802.0,259520.0,1.0,FELONY ASSAULT
-73.90058993332103,40.853579112988946,2015.0,2.0,1011751.0,250275.0,2.0,FELONY ASSAULT
-73.9144213518199,40.830120193315146,2015.0,2.0,1007933.0,241724.0,1.0,FELONY ASSAULT
-73.89198377471568,40.84873520472777,2015.0,2.0,1014134.0,248513.0,1.0,FELONY ASSAULT
-73.89924889401512,40.86070868673923,2015.0,2.0,1012119.0,252873.0,1.0,FELONY ASSAULT
-73.86800417717018,40.858283791758765,2015.0,2.0,1020763.0,252001.0,1.0,FELONY ASSAULT
-73.88185495898122,40.86757589387378,2015.0,2.0,1016927.0,255381.0,1.0,FELONY ASSAULT
-73.84071814860451,40.672495994663564,2015.0,3.0,1028434.0,184325.0,1.0,BURGLARY
-73.83380664984078,40.853642216291604,2015.0,2.0,1030226.0,250326.0,1.0,FELONY ASSAULT
-73.8913890481924,40.86984963685131,2015.0,2.0,1014289.0,256206.0,1.0,FELONY ASSAULT
-73.92093773832144,40.816917263813345,2015.0,2.0,1006134.0,236912.0,1.0,FELONY ASSAULT
-73.87725047529045,40.874479488930234,2015.0,2.0,1018197.0,257898.0,1.0,FELONY ASSAULT
-73.8327820655812,40.87584537476414,2015.0,2.0,1030494.0,258416.0,2.0,FELONY ASSAULT
-73.91892190790679,40.82572641077397,2015.0,2.0,1006689.0,240122.0,2.0,FELONY ASSAULT
-73.92551803240875,40.81110699288247,2015.0,2.0,1004868.0,234794.0,1.0,FELONY ASSAULT
-73.91617652949726,40.85671770757311,2015.0,2.0,1007438.0,251414.0,1.0,FELONY ASSAULT
-73.91352435762687,40.830770021564696,2015.0,2.0,1008181.0,241961.0,1.0,FELONY ASSAULT
-73.84762341592203,40.81689583340316,2015.0,2.0,1026427.0,236931.0,1.0,FELONY ASSAULT
-73.9938096133176,40.601949791255656,2015.0,1.0,985969.0,158583.0,1.0,ROBBERY
-73.81127343772343,40.739769699684906,2015.0,3.0,1036549.0,208851.0,1.0,BURGLARY
-73.92866598610786,40.83668151360772,2015.0,2.0,1003989.0,244111.0,1.0,FELONY ASSAULT
-73.9300052377015,40.673219006031935,2015.0,2.0,1003666.0,184556.0,1.0,FELONY ASSAULT
-73.92004575050831,40.69632350207139,2015.0,2.0,1006421.0,192976.0,1.0,FELONY ASSAULT
-73.98896950156742,40.69009816266548,2015.0,2.0,987309.0,190698.0,2.0,FELONY ASSAULT
-73.95638349077616,40.66704255844036,2015.0,2.0,996350.0,182301.0,1.0,FELONY ASSAULT
-73.92679632257806,40.67035420674078,2015.0,2.0,1004557.0,183513.0,2.0,FELONY ASSAULT
-73.91511384770966,40.66402495462152,2015.0,2.0,1007800.0,181210.0,1.0,FELONY ASSAULT
-73.91778270704208,40.66863812164335,2015.0,2.0,1007058.0,182890.0,1.0,FELONY ASSAULT
-73.95240984138478,40.663815868605724,2015.0,2.0,997453.0,181126.0,1.0,FELONY ASSAULT
-74.0209368284724,40.646957126486825,2015.0,2.0,978440.0,174981.0,1.0,FELONY ASSAULT
-73.9225222073672,40.740664059811024,2015.0,3.0,1005720.0,209130.0,1.0,BURGLARY
-73.93230490070265,40.684199479922896,2015.0,2.0,1003025.0,188556.0,1.0,FELONY ASSAULT
-73.90623869252134,40.67489012981411,2015.0,2.0,1010258.0,185171.0,1.0,FELONY ASSAULT
-73.95839695914681,40.58860544987592,2015.0,2.0,995805.0,153724.0,1.0,FELONY ASSAULT
-73.99530091890554,40.59588111426347,2015.0,2.0,985555.0,156372.0,1.0,FELONY ASSAULT
-74.00050055146816,40.60072577741586,2015.0,2.0,984111.0,158137.0,4.0,FELONY ASSAULT
-73.93376149596656,40.691526122271284,2015.0,2.0,1002619.0,191225.0,1.0,FELONY ASSAULT
-73.98711617241952,40.57754796295877,2015.0,2.0,987829.0,149693.0,1.0,FELONY ASSAULT
-73.90764047542628,40.667513301327126,2015.0,2.0,1009872.0,182483.0,2.0,FELONY ASSAULT
-73.91241195239428,40.67936348958027,2015.0,2.0,1008544.0,186799.0,1.0,FELONY ASSAULT
-73.8997502954982,40.67197519541248,2015.0,2.0,1012059.0,184111.0,1.0,FELONY ASSAULT
-73.81292370451418,40.705951406765685,2015.0,3.0,1036118.0,196529.0,1.0,BURGLARY
-73.86047675672256,40.663990875105014,2015.0,2.0,1022958.0,181217.0,1.0,FELONY ASSAULT
-73.90772307850844,40.66512815445834,2015.0,2.0,1009850.0,181614.0,1.0,FELONY ASSAULT
-73.865065593717,40.66740811228567,2015.0,2.0,1021683.0,182460.0,1.0,FELONY ASSAULT
-73.96104924359615,40.708009937998945,2015.0,2.0,995049.0,197226.0,1.0,FELONY ASSAULT
-73.945812200714,40.798665498648866,2015.0,2.0,999253.0,230257.0,1.0,FELONY ASSAULT
-73.93308659683144,40.850201850032036,2015.0,2.0,1002762.0,249036.0,2.0,FELONY ASSAULT
-73.94441942259468,40.814320744855905,2015.0,2.0,999635.0,235961.0,1.0,FELONY ASSAULT
-73.98337622706265,40.76441176683228,2015.0,2.0,988855.0,217773.0,1.0,FELONY ASSAULT
-73.98549098814287,40.734315891463275,2015.0,2.0,988271.0,206808.0,1.0,FELONY ASSAULT
-73.93382091580763,40.80241402508121,2015.0,2.0,1002572.0,231625.0,1.0,FELONY ASSAULT
-73.83058352715895,40.685681157717305,2015.0,1.0,1031236.0,189134.0,1.0,FELONY ASSAULT
-73.9352615516458,40.81041022671639,2015.0,2.0,1002171.0,234538.0,1.0,FELONY ASSAULT
-73.7678556281997,40.67111218973775,2015.0,2.0,1048647.0,183866.0,1.0,FELONY ASSAULT
-73.92213292394483,40.77115518489568,2015.0,2.0,1005818.0,220239.0,1.0,FELONY ASSAULT
-73.85625624354637,40.74912562004784,2015.0,2.0,1024078.0,212236.0,1.0,FELONY ASSAULT
-73.78868966617947,40.58991185489657,2015.0,2.0,1042939.0,154268.0,1.0,FELONY ASSAULT
-73.76580082283367,40.684461398079414,2015.0,2.0,1049204.0,188731.0,1.0,FELONY ASSAULT
-73.8070767357412,40.66620011850697,2015.0,2.0,1037771.0,182050.0,1.0,FELONY ASSAULT
-73.92442010291995,40.76315853022307,2015.0,2.0,1005187.0,217325.0,1.0,FELONY ASSAULT
-73.73868395305202,40.67039362343604,2015.0,2.0,1056740.0,183627.0,1.0,FELONY ASSAULT
-73.845149245222,40.779377540212494,2015.0,2.0,1027136.0,223263.0,2.0,FELONY ASSAULT
-73.89091187236757,40.74416546363626,2015.0,3.0,1014478.0,210415.0,1.0,BURGLARY
-73.78912895096963,40.707345791087576,2015.0,2.0,1042714.0,197052.0,1.0,FELONY ASSAULT
-73.7871690090747,40.70778958175625,2015.0,2.0,1043257.0,197215.0,1.0,FELONY ASSAULT
-73.8548222274298,40.7463626006762,2015.0,2.0,1024477.0,211230.0,1.0,FELONY ASSAULT
-73.86864998608401,40.75825847734034,2015.0,2.0,1020639.0,215558.0,1.0,FELONY ASSAULT
-73.7811160043251,40.67723160249021,2015.0,2.0,1044963.0,186086.0,1.0,FELONY ASSAULT
-73.84556630293184,40.780149371787836,2015.0,2.0,1027020.0,223544.0,1.0,FELONY ASSAULT
-73.83351365351156,40.75840793357177,2015.0,2.0,1030373.0,215629.0,1.0,FELONY ASSAULT
-74.1138098546549,40.580176732321966,2015.0,2.0,952636.0,150671.0,2.0,FELONY ASSAULT
-73.88443550903686,40.79114365652041,2015.0,3.0,1016250.0,227533.0,26.0,FELONY ASSAULT
-73.9176489005694,40.84708211070089,2015.0,3.0,1007034.0,247903.0,1.0,FELONY ASSAULT
-73.86508010204723,40.745773972777975,2015.0,3.0,1021635.0,211011.0,2.0,BURGLARY
-73.90144565738439,40.82008612624174,2015.0,2.0,1011528.0,238072.0,1.0,FELONY ASSAULT
-73.8818134411585,40.878730293229914,2015.0,2.0,1016933.0,259445.0,1.0,FELONY ASSAULT
-73.86802725191514,40.82661534513584,2015.0,3.0,1020774.0,240463.0,1.0,FELONY ASSAULT
-73.88752064242836,40.833300176101076,2015.0,2.0,1015376.0,242891.0,1.0,FELONY ASSAULT
-73.89187696329134,40.847736031295966,2015.0,2.0,1014164.0,248149.0,1.0,FELONY ASSAULT
-73.90034592546577,40.847554273617526,2015.0,2.0,1011821.0,248080.0,1.0,FELONY ASSAULT
-73.830359096726,40.88303019435036,2015.0,2.0,1031159.0,261035.0,1.0,FELONY ASSAULT
-73.91432289160754,40.828009434185304,2015.0,3.0,1007961.0,240955.0,1.0,FELONY ASSAULT
-73.89888244515367,40.82353127410141,2015.0,3.0,1012236.0,239328.0,2.0,FELONY ASSAULT
-73.96150320706877,40.65267271728516,2015.0,2.0,994932.0,177065.0,1.0,FELONY ASSAULT
-73.79242472055509,40.5941209627237,2015.0,3.0,1041898.0,155799.0,1.0,BURGLARY
-73.95181814465924,40.644629596287295,2015.0,3.0,997621.0,174136.0,1.0,FELONY ASSAULT
-73.92498709798731,40.66357892794309,2015.0,3.0,1005061.0,181045.0,2.0,FELONY ASSAULT
-73.88742585479868,40.66506616585877,2015.0,2.0,1015481.0,181598.0,1.0,FELONY ASSAULT
-73.91608332847566,40.68418604867075,2015.0,2.0,1007524.0,188555.0,2.0,FELONY ASSAULT
-73.90765962264143,40.661494014541894,2015.0,2.0,1009869.0,180290.0,1.0,FELONY ASSAULT
-73.95247967317111,40.64168746159605,2015.0,2.0,997438.0,173064.0,1.0,FELONY ASSAULT
-73.97015194917113,40.6298551385192,2015.0,2.0,992535.0,168751.0,1.0,FELONY ASSAULT
-73.88443309028966,40.66562862298991,2015.0,2.0,1016311.0,181804.0,1.0,FELONY ASSAULT
-73.8845416939559,40.671606861466366,2015.0,2.0,1016278.0,183982.0,1.0,FELONY ASSAULT
-73.87949304365736,40.65662066923677,2015.0,3.0,1017686.0,178524.0,1.0,FELONY ASSAULT
-74.13444829909668,40.640844654019325,2015.0,1.0,946937.0,172782.0,1.0,FELONY ASSAULT
-74.02187944982049,40.63133911703447,2015.0,2.0,978177.0,169291.0,1.0,FELONY ASSAULT
-74.03177880077808,40.621708083334426,2015.0,2.0,975428.0,165783.0,1.0,FELONY ASSAULT
-73.98134545171791,40.69418139581524,2015.0,2.0,989423.0,192186.0,1.0,FELONY ASSAULT
-73.95087070374436,40.678521734354035,2015.0,3.0,997877.0,186484.0,1.0,FELONY ASSAULT
-73.94609305340292,40.68823334532571,2015.0,2.0,999200.0,190023.0,1.0,FELONY ASSAULT
-73.91917877943902,40.86412779583462,2015.0,2.0,1006605.0,254113.0,1.0,FELONY ASSAULT
-73.9454169084449,40.82264869969231,2015.0,2.0,999357.0,238995.0,1.0,FELONY ASSAULT
-73.99347031895194,40.757270958891134,2015.0,2.0,986059.0,215171.0,1.0,FELONY ASSAULT
-73.94946891454873,40.82514000462673,2015.0,2.0,998235.0,239902.0,2.0,FELONY ASSAULT
-73.92505602976868,40.86208696228334,2015.0,3.0,1004980.0,253368.0,4.0,FELONY ASSAULT
-74.13813052041367,40.5536626571288,2015.0,3.0,945865.0,141021.0,1.0,BURGLARY
-73.93610638162694,40.80714722139582,2015.0,3.0,1001938.0,233349.0,1.0,FELONY ASSAULT
-73.98785718125897,40.71922274862368,2015.0,3.0,987616.0,201309.0,1.0,FELONY ASSAULT
-73.95246178133763,40.798300639242626,2015.0,2.0,997412.0,230123.0,1.0,FELONY ASSAULT
-73.84551362885428,40.68145874607089,2015.0,3.0,1027098.0,187588.0,1.0,FELONY ASSAULT
-73.90957127852698,40.70038898501297,2015.0,2.0,1009324.0,194460.0,1.0,FELONY ASSAULT
-73.80827909065754,40.70563086061101,2015.0,2.0,1037406.0,196415.0,1.0,FELONY ASSAULT
-73.8539954926918,40.75307796280336,2015.0,3.0,1024702.0,213677.0,1.0,FELONY ASSAULT
-73.88059479742645,40.70556390667082,2015.0,2.0,1017356.0,196355.0,1.0,FELONY ASSAULT
-73.86099278546476,40.67754796683232,2015.0,3.0,1022807.0,186156.0,1.0,FELONY ASSAULT
-73.8566754518052,40.743837003927176,2015.0,3.0,1023965.0,210309.0,1.0,FELONY ASSAULT
-74.10664101820426,40.60418415414838,2015.0,3.0,954638.0,159415.0,1.0,BURGLARY
-73.8843376608412,40.74144997809756,2015.0,2.0,1016301.0,209428.0,1.0,FELONY ASSAULT
-73.92836076194098,40.73753882138817,2015.0,2.0,1004103.0,207990.0,1.0,FELONY ASSAULT
-73.82689162154641,40.69944894035602,2015.0,2.0,1032250.0,194152.0,1.0,FELONY ASSAULT
-73.8281820939245,40.68569955533331,2015.0,3.0,1031902.0,189142.0,2.0,FELONY ASSAULT
-73.87559576252671,40.75391850665992,2015.0,2.0,1018717.0,213974.0,1.0,FELONY ASSAULT
-73.82785605496001,40.76310960700529,2015.0,2.0,1031937.0,217345.0,1.0,FELONY ASSAULT
-74.07742921368194,40.63675804354554,2015.0,2.0,962760.0,171274.0,1.0,FELONY ASSAULT
-74.1181827287188,40.634480886144736,2015.0,3.0,951448.0,170457.0,1.0,FELONY ASSAULT
-74.07726220206125,40.64499526093608,2015.0,3.0,962809.0,174275.0,2.0,FELONY ASSAULT
-73.82844091853177,40.83455861211684,2015.0,3.0,1031724.0,243376.0,1.0,FELONY ASSAULT
-73.93131325067323,40.85932694420329,2015.0,1.0,1003250.0,252361.0,1.0,ROBBERY
-73.88617290799077,40.845875121257066,2015.0,1.0,1015743.0,247473.0,1.0,FELONY ASSAULT
-73.91859452282091,40.8481916433012,2015.0,3.0,1006772.0,248307.0,1.0,FELONY ASSAULT
-73.90513183191197,40.85996711528034,2015.0,3.0,1010492.0,252601.0,2.0,FELONY ASSAULT
-73.91316738178675,40.83849063018312,2015.0,3.0,1008277.0,244774.0,4.0,FELONY ASSAULT
-73.89243441589069,40.85393135342634,2015.0,3.0,1014007.0,250406.0,1.0,FELONY ASSAULT
-73.91923558700789,40.83819037607499,2015.0,3.0,1006598.0,244663.0,1.0,FELONY ASSAULT
