,long,lat,YR,MO,CR
44578,-73.79874079888941,40.74691229732048,2014.0,6.0,M
44852,-73.84301332376869,40.87822841807672,2014.0,6.0,M
44899,-73.93924270674077,40.79430633801757,2014.0,6.0,M
45377,-74.00446312920067,40.72909894022302,2014.0,5.0,M
45748,-73.91609754377019,40.68721628791561,2014.0,5.0,M
45864,-73.76672824879489,40.68217687865661,2014.0,6.0,M
45872,-73.7440065012582,40.6896575113188,2014.0,6.0,M
45969,-73.86824170717654,40.82962380071209,2014.0,6.0,M
46441,-73.94231723313523,40.80555581122778,2014.0,8.0,M
46473,-73.92039995074524,40.665458763922,2014.0,6.0,M
46772,-73.93542096373588,40.832269251777205,2014.0,7.0,M
47675,-73.83427771266764,40.8807495578352,2014.0,8.0,M
47876,-73.94802931048933,40.82710732601343,2014.0,8.0,M
48502,-73.86342031307512,40.68400384306163,2014.0,7.0,M
49617,-73.84178504693203,40.877721716893156,2014.0,8.0,M
49753,-74.080651873394,40.617168999953975,2014.0,1.0,M
51022,-73.85972673030408,40.8218187560046,2014.0,2.0,M
51760,-73.88318079077987,40.85377962973699,2014.0,4.0,M
51945,-73.90844109190843,40.84843379959352,2014.0,6.0,M
51978,-73.86675870593577,40.82314181684136,2014.0,6.0,M
52173,-74.07858401346395,40.60771461317364,2014.0,3.0,M
52634,-73.89051333323178,40.85711340244456,2014.0,6.0,M
53444,-73.90465498791845,40.670593251914,2014.0,5.0,M
53457,-73.89850322496045,40.83290140191777,2014.0,6.0,M
54119,-73.8702460858479,40.678244968324364,2014.0,6.0,M
55268,-73.93905857698158,40.80213146142456,2014.0,7.0,M
55476,-73.99795527217624,40.57815801348911,2014.0,7.0,M
55677,-73.94466003662141,40.69439467354273,2014.0,7.0,M
56032,-73.87319879127682,40.76737338418835,2014.0,8.0,M
56146,-73.91132723762891,40.83625777971913,2014.0,8.0,M
56630,-73.94592784248903,40.674083961302244,2014.0,6.0,M
57066,-73.88842877990726,40.85203644740773,2014.0,7.0,M
57232,-73.93125133696455,40.667420043048146,2014.0,7.0,M
57341,-74.08537142335133,40.609469186568745,2014.0,7.0,M
57383,-73.94946891454873,40.825140004626725,2014.0,7.0,M
57874,-73.98779332860305,40.57543453821544,2014.0,8.0,M
57884,-73.90745239909721,40.66277291576417,2014.0,8.0,M
59041,-73.92932758379885,40.812621733197496,2014.0,3.0,M
59415,-73.76342836614468,40.67631826318564,2014.0,1.0,M
59747,-73.93634332794292,40.67270392471593,2014.0,8.0,M
59764,-77.51958437167269,40.11238529747836,2014.0,8.0,M
60220,-73.9166727352388,40.8386414302868,2014.0,1.0,M
60609,-73.93991969811056,40.608414718714144,2014.0,3.0,M
60849,-73.89194229271223,40.69181833700786,2014.0,1.0,M
894,-73.79975366381784,40.592443167058704,2015.0,3.0,M
2114,-73.92512896232199,40.84226201211688,2015.0,3.0,M
2118,-73.81729217068731,40.83599069986208,2015.0,3.0,M
2121,-73.90394930252336,40.8151751887546,2015.0,1.0,M
2125,-73.91917176158613,40.831232485202975,2015.0,3.0,M
2134,-73.94789418559888,40.6351336689149,2015.0,1.0,M
2147,-73.9458441997607,40.67497871879052,2015.0,1.0,M
2154,-73.98707184442337,40.75076537021296,2015.0,3.0,M
2351,-73.9225857125748,40.63320904202458,2015.0,1.0,M
2352,-73.88111748453073,40.675391167575114,2015.0,3.0,M
3599,-73.82039848312114,40.72144928875705,2015.0,2.0,M
3610,-73.77393536794662,40.679067701774734,2015.0,1.0,M
4917,-73.90027175233394,40.82952420094579,2015.0,3.0,M
4922,-73.89320044853288,40.865377470423226,2015.0,3.0,M
4923,-73.85763970712922,40.86173253893694,2015.0,3.0,M
4925,-73.81841303956953,40.82650946652121,2015.0,1.0,M
4928,-73.88872548199309,40.81944875627812,2015.0,3.0,M
4947,-73.90118327597514,40.67561326468701,2015.0,2.0,M
4952,-73.89128328239471,40.66915685282439,2015.0,2.0,M
4955,-73.97566181888557,40.69516845079399,2015.0,2.0,M
4960,-73.98811424757069,40.754440698290466,2015.0,1.0,M
4966,-73.96457778741856,40.753623420322135,2015.0,1.0,M
4969,-73.75166391642762,40.60874129637733,2015.0,1.0,M
5153,-73.88071984441962,40.811044645725744,2015.0,1.0,M
5154,-73.80728464483336,40.588001222880344,2015.0,1.0,M
6352,-73.78986563134832,40.67960568241097,2015.0,3.0,M
6363,-73.85359027116196,40.68783444063101,2015.0,2.0,M
7544,-73.84557229580214,40.90523136366484,2015.0,3.0,M
7560,-73.92081411791501,40.68701651704063,2015.0,1.0,M
7566,-73.92099290440895,40.627419196569186,2015.0,1.0,M
7570,-73.94676256159799,40.66260569082665,2015.0,3.0,M
8860,-73.90938992534865,40.70114639822357,2015.0,3.0,M
8877,-74.08815157681025,40.6365526987272,2015.0,1.0,M
8879,-74.11911633067062,40.63674986394743,2015.0,2.0,M
10037,-73.8748741617888,40.830633009055695,2015.0,3.0,M
10043,-73.90778780601215,40.816468341660425,2015.0,1.0,M
10051,-73.90809223496899,40.643118034320366,2015.0,2.0,M
10065,-73.94544783873745,40.639474787822266,2015.0,1.0,M
10072,-73.9878791146991,40.75730893270697,2015.0,1.0,M
10600,-73.89941650100124,40.85028170516342,2015.0,3.0,M
10605,-73.91885460641666,40.82165594728132,2015.0,1.0,M
10609,-73.9582048729335,40.64815090827682,2015.0,3.0,M
10641,-73.97817778032505,40.72074740697065,2015.0,2.0,M
10643,-73.94173354931009,40.79560313652252,2015.0,2.0,M
10849,-73.92139502498063,40.77845568894827,2015.0,1.0,M
12021,-73.81542935031422,40.758443507807215,2015.0,3.0,M
12028,-73.7509668895367,40.655601746896046,2015.0,1.0,M
12043,-73.81005871761643,40.59118158329493,2015.0,1.0,M
12045,-73.79890059810921,40.67006175180167,2015.0,1.0,M
12048,-74.06898275971956,40.59402423472571,2015.0,1.0,M
13259,-73.86469996252362,40.838770579107305,2015.0,3.0,M
13275,-74.00302738875045,40.57585510179744,2015.0,1.0,M
13289,-73.99119107073045,40.74222958930149,2015.0,1.0,M
13295,-73.95670182641584,40.820792570701926,2015.0,3.0,M
13297,-73.9462599437346,40.785392189630706,2015.0,1.0,M
13512,-73.92914134087087,40.65841863009972,2015.0,2.0,M
14807,-73.8148782034625,40.6969956310959,2015.0,1.0,M
16017,-73.91896105237494,40.660075245630395,2015.0,2.0,M
16025,-73.89865396455595,40.677002666114944,2015.0,1.0,M
16043,-73.86408492631136,40.66927066371768,2015.0,2.0,M
16048,-73.94361479857909,40.80035245226488,2015.0,3.0,M
16052,-73.81112956161766,40.664496843159945,2015.0,1.0,M
17415,-73.95423387654748,40.742385518069746,2015.0,2.0,M
17421,-73.92550675600494,40.77276857782388,2015.0,1.0,M
17427,-73.87859858538533,40.70648406026129,2015.0,3.0,M
17436,-73.81331382864657,40.73021028237606,2015.0,1.0,M
18035,-73.7708207276417,40.70099232575106,2015.0,3.0,M
18686,-73.8541380966835,40.87915974228631,2015.0,2.0,M
18688,-73.90237631116214,40.85558152741964,2015.0,1.0,M
18689,-73.90072983900353,40.863984397447545,2015.0,2.0,M
18691,-73.866422807634,40.862678984753906,2015.0,2.0,M
18705,-73.96739223802473,40.60788232639091,2015.0,3.0,M
18710,-73.98792501305847,40.68332121831646,2015.0,3.0,M
18715,-73.95483053759506,40.820432294771855,2015.0,2.0,M
18883,-73.88220304267186,40.685361308944785,2015.0,2.0,M
581,-73.92792556093747,40.65615891951553,2015.0,4.0,M
674,-73.8541380966835,40.87915974228631,2015.0,2.0,M
929,-73.78195549885636,40.689521579052865,2015.0,4.0,M
1257,-73.98792501305847,40.68332121831646,2015.0,3.0,M
1383,-73.90072983900353,40.863984397447545,2015.0,2.0,M
1542,-73.89356093204155,40.8547448306758,2015.0,4.0,M
1564,-73.90237631116214,40.85558152741964,2015.0,1.0,M
1744,-73.866422807634,40.862678984753906,2015.0,2.0,M
1918,-73.92550675600494,40.77276857782388,2015.0,1.0,M
2164,-73.95483053759506,40.820432294771855,2015.0,2.0,M
2426,-73.81331382864657,40.73021028237606,2015.0,1.0,M
2453,-73.96739223802473,40.60788232639091,2015.0,3.0,M
2853,-73.87859858538533,40.70648406026129,2015.0,3.0,M
3381,-73.95423387654748,40.742385518069746,2015.0,2.0,M
3762,-73.88220304267186,40.685361308944785,2015.0,2.0,M
4057,-73.89941650100124,40.85028170516342,2015.0,3.0,M
4189,-73.92512896232199,40.84226201211688,2015.0,3.0,M
4404,-73.91917176158613,40.831232485202975,2015.0,3.0,M
4501,-73.81729217068731,40.83599069986208,2015.0,3.0,M
4563,-73.7309854239963,40.693267390488145,2015.0,4.0,M
4846,-73.97817778032505,40.72074740697065,2015.0,2.0,M
4891,-73.94173354931009,40.79560313652252,2015.0,2.0,M
4966,-73.94530904315666,40.7824411528429,2015.0,1.0,M
5105,-73.94789418559888,40.6351336689149,2015.0,1.0,M
5454,-73.90687590664963,40.856254954654844,2015.0,4.0,M
5924,-73.93608072966825,40.773675203194266,2015.0,4.0,M
6299,-73.950737741347,40.69745785206256,2015.0,4.0,M
6488,-73.79975366381784,40.592443167058704,2015.0,3.0,M
6528,-73.9458441997607,40.67497871879052,2015.0,1.0,M
6581,-73.90394930252336,40.8151751887546,2015.0,1.0,M
6844,-73.98707184442337,40.75076537021296,2015.0,3.0,M
7326,-73.9225857125748,40.63320904202458,2015.0,1.0,M
7388,-73.88111748453073,40.675391167575114,2015.0,3.0,M
7991,-73.97566181888557,40.69516845079399,2015.0,2.0,M
8227,-73.90027175233394,40.82952420094579,2015.0,3.0,M
8453,-73.89128328239471,40.66915685282439,2015.0,2.0,M
8672,-73.89275764281689,40.68036516114968,2015.0,4.0,M
8714,-73.96457778741856,40.753623420322135,2015.0,1.0,M
9015,-73.85763970712922,40.86173253893694,2015.0,3.0,M
9045,-73.90118327597514,40.67561326468701,2015.0,2.0,M
9120,-73.89320044853288,40.865377470423226,2015.0,3.0,M
9593,-73.82039848312114,40.72144928875705,2015.0,2.0,M
9695,-73.75166391642762,40.60874129637733,2015.0,1.0,M
9800,-73.77393536794662,40.679067701774734,2015.0,1.0,M
9915,-73.81841303956953,40.82650946652121,2015.0,1.0,M
10392,-73.83623546690207,40.701084774194015,2015.0,4.0,M
10404,-73.88872548199309,40.81944875627812,2015.0,3.0,M
10601,-73.91885460641666,40.82165594728132,2015.0,1.0,M
10842,-73.98811424757069,40.754440698290466,2015.0,1.0,M
11229,-73.88071984441962,40.811044645725744,2015.0,1.0,M
11270,-73.80728464483336,40.588001222880344,2015.0,1.0,M
11335,-73.7708207276417,40.70099232575106,2015.0,3.0,M
11589,-73.95238192850928,40.63727654923194,2015.0,4.0,M
11712,-73.92099290440895,40.627419196569186,2015.0,1.0,M
12246,-73.94676256159799,40.66260569082665,2015.0,3.0,M
12542,-73.90234470409516,40.85741221737775,2015.0,4.0,M
13350,-73.78986563134832,40.67960568241097,2015.0,3.0,M
13600,-73.9197922156766,40.66725891672081,2015.0,4.0,M
14154,-73.85359027116196,40.68783444063101,2015.0,2.0,M
14277,-73.84557229580214,40.90523136366484,2015.0,3.0,M
14395,-73.92081411791501,40.68701651704063,2015.0,1.0,M
15150,-73.94544783873745,40.639474787822266,2015.0,1.0,M
15544,-73.8748741617888,40.830633009055695,2015.0,3.0,M
15620,-74.08815157681025,40.6365526987272,2015.0,1.0,M
15999,-73.86798497504111,40.68036959805129,2015.0,4.0,M
16286,-73.9878791146991,40.75730893270697,2015.0,1.0,M
16949,-73.90938992534865,40.70114639822357,2015.0,3.0,M
17147,-73.90602694216341,40.8533119442128,2015.0,4.0,M
17160,-73.90778780601215,40.816468341660425,2015.0,1.0,M
17363,-73.87812991084887,40.664938667719994,2015.0,4.0,M
17421,-74.11911633067062,40.63674986394743,2015.0,2.0,M
17531,-73.90809223496899,40.643118034320366,2015.0,2.0,M
18372,-73.9582048729335,40.64815090827682,2015.0,3.0,M
18856,-73.85503679697347,40.805317159882144,2015.0,4.0,M
18978,-73.95722358680621,40.68920143553177,2015.0,4.0,M
19308,-73.92139502498063,40.77845568894827,2015.0,1.0,M
19425,-73.79890059810921,40.67006175180167,2015.0,1.0,M
19859,-73.92593988811937,40.69171074370482,2015.0,4.0,M
20058,-73.99119107073045,40.74222958930149,2015.0,1.0,M
20214,-73.9462599437346,40.785392189630706,2015.0,1.0,M
20237,-74.06898275971956,40.59402423472571,2015.0,1.0,M
20572,-73.7509668895367,40.655601746896046,2015.0,1.0,M
20719,-74.00302738875045,40.57585510179744,2015.0,1.0,M
21037,-73.81005871761643,40.59118158329493,2015.0,1.0,M
21141,-73.81542935031422,40.758443507807215,2015.0,3.0,M
21165,-73.86469996252362,40.838770579107305,2015.0,3.0,M
21460,-73.95670182641584,40.820792570701926,2015.0,3.0,M
21880,-74.08512527886354,40.59720012312422,2015.0,4.0,M
22092,-73.859052732323,40.89950947825368,2015.0,4.0,M
22831,-73.96418324622806,40.708719104807784,2015.0,4.0,M
22919,-73.92914134087087,40.65841863009972,2015.0,2.0,M
23149,-73.8148782034625,40.6969956310959,2015.0,1.0,M
23882,-73.7754669181939,40.709263251554496,2015.0,4.0,M
24291,-73.89865396455595,40.677002666114944,2015.0,1.0,M
24405,-73.86408492631136,40.66927066371768,2015.0,2.0,M
24471,-73.91896105237494,40.660075245630395,2015.0,2.0,M
24919,-73.81112956161766,40.664496843159945,2015.0,1.0,M
25100,-73.94361479857909,40.80035245226488,2015.0,3.0,M
581,-73.92792556093747,40.65615891951553,2015.0,4.0,M
674,-73.8541380966835,40.87915974228631,2015.0,2.0,M
929,-73.78195549885636,40.689521579052865,2015.0,4.0,M
1257,-73.98792501305847,40.68332121831646,2015.0,3.0,M
1383,-73.90072983900353,40.863984397447545,2015.0,2.0,M
1542,-73.89356093204155,40.8547448306758,2015.0,4.0,M
1564,-73.90237631116214,40.85558152741964,2015.0,1.0,M
1744,-73.866422807634,40.862678984753906,2015.0,2.0,M
1918,-73.92550675600494,40.77276857782388,2015.0,1.0,M
2164,-73.95483053759506,40.820432294771855,2015.0,2.0,M
2426,-73.81331382864657,40.73021028237606,2015.0,1.0,M
2453,-73.96739223802473,40.60788232639091,2015.0,3.0,M
2853,-73.87859858538533,40.70648406026129,2015.0,3.0,M
3381,-73.95423387654748,40.742385518069746,2015.0,2.0,M
3762,-73.88220304267186,40.685361308944785,2015.0,2.0,M
4057,-73.89941650100124,40.85028170516342,2015.0,3.0,M
4189,-73.92512896232199,40.84226201211688,2015.0,3.0,M
4404,-73.91917176158613,40.831232485202975,2015.0,3.0,M
4501,-73.81729217068731,40.83599069986208,2015.0,3.0,M
4563,-73.7309854239963,40.693267390488145,2015.0,4.0,M
4846,-73.97817778032505,40.72074740697065,2015.0,2.0,M
4891,-73.94173354931009,40.79560313652252,2015.0,2.0,M
4966,-73.94530904315666,40.7824411528429,2015.0,1.0,M
5105,-73.94789418559888,40.6351336689149,2015.0,1.0,M
5454,-73.90687590664963,40.856254954654844,2015.0,4.0,M
5924,-73.93608072966825,40.773675203194266,2015.0,4.0,M
6299,-73.950737741347,40.69745785206256,2015.0,4.0,M
6488,-73.79975366381784,40.592443167058704,2015.0,3.0,M
6528,-73.9458441997607,40.67497871879052,2015.0,1.0,M
6581,-73.90394930252336,40.8151751887546,2015.0,1.0,M
6844,-73.98707184442337,40.75076537021296,2015.0,3.0,M
7326,-73.9225857125748,40.63320904202458,2015.0,1.0,M
7388,-73.88111748453073,40.675391167575114,2015.0,3.0,M
7991,-73.97566181888557,40.69516845079399,2015.0,2.0,M
8227,-73.90027175233394,40.82952420094579,2015.0,3.0,M
8453,-73.89128328239471,40.66915685282439,2015.0,2.0,M
8672,-73.89275764281689,40.68036516114968,2015.0,4.0,M
8714,-73.96457778741856,40.753623420322135,2015.0,1.0,M
9015,-73.85763970712922,40.86173253893694,2015.0,3.0,M
9045,-73.90118327597514,40.67561326468701,2015.0,2.0,M
9120,-73.89320044853288,40.865377470423226,2015.0,3.0,M
9593,-73.82039848312114,40.72144928875705,2015.0,2.0,M
9695,-73.75166391642762,40.60874129637733,2015.0,1.0,M
9800,-73.77393536794662,40.679067701774734,2015.0,1.0,M
9915,-73.81841303956953,40.82650946652121,2015.0,1.0,M
10392,-73.83623546690207,40.701084774194015,2015.0,4.0,M
10404,-73.88872548199309,40.81944875627812,2015.0,3.0,M
10601,-73.91885460641666,40.82165594728132,2015.0,1.0,M
10842,-73.98811424757069,40.754440698290466,2015.0,1.0,M
11229,-73.88071984441962,40.811044645725744,2015.0,1.0,M
11270,-73.80728464483336,40.588001222880344,2015.0,1.0,M
11335,-73.7708207276417,40.70099232575106,2015.0,3.0,M
11589,-73.95238192850928,40.63727654923194,2015.0,4.0,M
11712,-73.92099290440895,40.627419196569186,2015.0,1.0,M
12246,-73.94676256159799,40.66260569082665,2015.0,3.0,M
12542,-73.90234470409516,40.85741221737775,2015.0,4.0,M
13350,-73.78986563134832,40.67960568241097,2015.0,3.0,M
13600,-73.9197922156766,40.66725891672081,2015.0,4.0,M
14154,-73.85359027116196,40.68783444063101,2015.0,2.0,M
14277,-73.84557229580214,40.90523136366484,2015.0,3.0,M
14395,-73.92081411791501,40.68701651704063,2015.0,1.0,M
15150,-73.94544783873745,40.639474787822266,2015.0,1.0,M
15544,-73.8748741617888,40.830633009055695,2015.0,3.0,M
15620,-74.08815157681025,40.6365526987272,2015.0,1.0,M
15999,-73.86798497504111,40.68036959805129,2015.0,4.0,M
16286,-73.9878791146991,40.75730893270697,2015.0,1.0,M
16949,-73.90938992534865,40.70114639822357,2015.0,3.0,M
17147,-73.90602694216341,40.8533119442128,2015.0,4.0,M
17160,-73.90778780601215,40.816468341660425,2015.0,1.0,M
17363,-73.87812991084887,40.664938667719994,2015.0,4.0,M
17421,-74.11911633067062,40.63674986394743,2015.0,2.0,M
17531,-73.90809223496899,40.643118034320366,2015.0,2.0,M
18372,-73.9582048729335,40.64815090827682,2015.0,3.0,M
18856,-73.85503679697347,40.805317159882144,2015.0,4.0,M
18978,-73.95722358680621,40.68920143553177,2015.0,4.0,M
19308,-73.92139502498063,40.77845568894827,2015.0,1.0,M
19425,-73.79890059810921,40.67006175180167,2015.0,1.0,M
19859,-73.92593988811937,40.69171074370482,2015.0,4.0,M
20058,-73.99119107073045,40.74222958930149,2015.0,1.0,M
20214,-73.9462599437346,40.785392189630706,2015.0,1.0,M
20237,-74.06898275971956,40.59402423472571,2015.0,1.0,M
20572,-73.7509668895367,40.655601746896046,2015.0,1.0,M
20719,-74.00302738875045,40.57585510179744,2015.0,1.0,M
21037,-73.81005871761643,40.59118158329493,2015.0,1.0,M
21141,-73.81542935031422,40.758443507807215,2015.0,3.0,M
21165,-73.86469996252362,40.838770579107305,2015.0,3.0,M
21460,-73.95670182641584,40.820792570701926,2015.0,3.0,M
